datetime,grdpiece
2020-12-18 15:12:29,6.8
2020-12-18 15:27:29,6.8
2020-12-18 15:42:29,6.8
2020-12-18 15:57:29,6.8
2020-12-18 16:12:29,6.8
2020-12-18 16:27:29,6.8
2020-12-18 16:42:29,6.8
2020-12-18 16:57:29,6.8
2020-12-18 17:12:29,6.9
2020-12-18 17:27:29,6.9
2020-12-18 17:42:29,6.9
2020-12-18 17:57:29,6.9
2020-12-18 18:12:29,6.9
2020-12-18 18:27:29,6.9
2020-12-18 18:42:29,6.9
2020-12-18 18:57:29,6.9
2020-12-18 19:12:29,6.9
2020-12-18 19:27:29,6.9
2020-12-18 19:42:29,6.9
2020-12-18 19:57:29,6.9
2020-12-18 20:12:29,6.9
2020-12-18 20:27:29,6.9
2020-12-18 20:42:29,6.9
2020-12-18 20:57:29,6.9
2020-12-18 21:12:29,6.9
2020-12-18 21:27:29,6.9
2020-12-18 21:42:29,6.9
2020-12-18 21:57:29,7.0
2020-12-18 22:12:29,7.0
2020-12-18 22:27:29,7.0
2020-12-18 22:42:29,7.0
2020-12-18 22:57:29,7.0
2020-12-18 23:12:29,7.0
2020-12-18 23:27:29,7.0
2020-12-18 23:42:29,7.0
2020-12-18 23:57:29,7.0
2020-12-19 00:12:29,7.0
2020-12-19 00:27:29,7.0
2020-12-19 00:42:29,7.0
2020-12-19 00:57:29,6.9
2020-12-19 01:12:29,6.9
2020-12-19 01:27:29,6.9
2020-12-19 01:42:29,6.9
2020-12-19 01:57:29,6.9
2020-12-19 02:12:29,6.9
2020-12-19 02:27:29,6.9
2020-12-19 02:42:29,6.9
2020-12-19 02:57:29,6.9
2020-12-19 03:12:29,6.9
2020-12-19 03:27:29,6.9
2020-12-19 03:42:29,6.9
2020-12-19 03:57:29,6.9
2020-12-19 04:12:29,6.9
2020-12-19 04:27:29,6.9
2020-12-19 04:42:29,6.9
2020-12-19 04:57:29,6.9
2020-12-19 05:12:29,6.9
2020-12-19 05:27:29,7.0
2020-12-19 05:42:29,7.0
2020-12-19 05:57:29,7.0
2020-12-19 06:12:29,7.0
2020-12-19 06:27:29,7.0
2020-12-19 06:42:29,7.0
2020-12-19 06:57:29,7.0
2020-12-19 07:12:29,7.0
2020-12-19 07:27:29,7.0
2020-12-19 07:42:29,7.0
2020-12-19 07:57:29,7.0
2020-12-19 08:12:29,7.0
2020-12-19 08:27:29,7.0
2020-12-19 08:42:29,7.0
2020-12-19 08:57:29,7.0
2020-12-19 09:12:29,7.0
2020-12-19 09:27:29,7.0
2020-12-19 09:42:29,7.0
2020-12-19 09:57:29,7.0
2020-12-19 10:12:29,7.0
2020-12-19 10:27:29,7.0
2020-12-19 10:42:29,7.0
2020-12-19 10:57:29,7.0
2020-12-19 11:12:29,7.0
2020-12-19 11:27:29,7.0
2020-12-19 11:42:29,7.1
2020-12-19 11:57:29,7.1
2020-12-19 12:12:29,7.1
2020-12-19 12:27:29,7.1
2020-12-19 12:42:29,7.1
2020-12-19 12:57:29,7.1
2020-12-19 13:12:29,7.1
2020-12-19 13:27:29,7.1
2020-12-19 13:42:29,7.2
2020-12-19 13:57:29,7.2
2020-12-19 14:12:29,7.2
2020-12-19 14:27:29,7.2
2020-12-19 14:42:29,7.3
2020-12-19 14:57:29,7.3
2020-12-19 15:12:29,7.3
2020-12-19 15:27:29,7.3
2020-12-19 15:42:29,7.3
2020-12-19 15:57:29,7.3
2020-12-19 16:12:29,7.4
2020-12-19 16:27:29,7.4
2020-12-19 16:42:29,7.4
2020-12-19 16:57:29,7.4
2020-12-19 17:12:29,7.4
2020-12-19 17:27:29,7.4
2020-12-19 17:42:29,7.4
